latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month
37.98668,23.7274725,Entire home/apt,64,1,1,0.55
37.98668,23.7274725,Entire home/apt,57,1,1,0.56
37.97547893,23.73372064,Entire home/apt,56,1,1,1
37.9979908,23.7277333,Entire home/apt,55,1,1,1
37.98298,23.71212,Entire home/apt,71,1,1,0.64
37.96302581,23.72354127,Entire home/apt,49,1,1,0.64
37.9870413,23.7345747,Entire home/apt,54,1,1,0.65
37.9622669,23.7204673,Entire home/apt,79,1,1,1
38.0004624,23.743085,Entire home/apt,58,1,1,0.68
37.98397571,23.73002423,Entire home/apt,68,1,1,0.68
37.97297,23.74279,Entire home/apt,86,1,1,0.88
37.9871718,23.7403085,Entire home/apt,83,1,1,0.81
37.9840529,23.7343019,Entire home/apt,94,1,1,0.94
37.96359,23.72216,Entire home/apt,48,1,1,1
37.9641875,23.7306046,Entire home/apt,48,1,1,0.94
37.98593,23.73,Entire home/apt,56,1,1,0.64
37.9882907,23.76030154,Entire home/apt,42,1,1,1
37.9714594,23.7482984,Entire home/apt,39,1,1,0.73
37.9962818,23.72683613,Entire home/apt,67,1,1,1
37.9868164,23.745319,Entire home/apt,64,1,1,1
37.99924812,23.72483544,Entire home/apt,42,1,1,1
37.98491,23.75472,Entire home/apt,100,1,1,0.94
37.9640818,23.7247395,Entire home/apt,108,1,1,1
37.9561434,23.7264841,Entire home/apt,118,1,1,1
37.9649065,23.7252217,Entire home/apt,118,1,1,1
37.9849676,23.7375067,Entire home/apt,118,1,1,1
37.9676246,23.7310458,Entire home/apt,92,1,1,1
37.9722989,23.732951,Entire home/apt,84,1,1,1
37.96431,23.7241,Entire home/apt,43,1,1,1
37.9909403,23.7217091,Entire home/apt,52,1,1,0.94
37.98595187,23.73109432,Entire home/apt,42,1,1,1
37.96841,23.73209,Entire home/apt,47,1,1,1
37.96826708,23.73297124,Entire home/apt,55,1,1,1
37.9765491,23.7184691,Entire home/apt,90,1,1,1
37.9848034,23.7371681,Entire home/apt,47,1,1,1
37.9785433,23.7502337,Entire home/apt,35,1,1,1
37.96288,23.72935,Entire home/apt,51,1,1,1
37.96371,23.72134,Entire home/apt,128,1,1,1
37.9745269,23.732951,Entire home/apt,49,1,1,1
37.96064382,23.72752612,Entire home/apt,42,1,1,1
37.9659082,23.7273519,Entire home/apt,166,1,1,1
37.97343061,23.73180151,Entire home/apt,77,1,1,1
37.9795728,23.7350522,Entire home/apt,76,1,1,1
37.97782211,23.74493847,Entire home/apt,30,1,1,1
37.9824861,23.7287938,Entire home/apt,48,1,1,1
37.9642698,23.7414565,Entire home/apt,39,1,1,1
37.99019646,23.73297427,Entire home/apt,52,1,1,1
37.98587659,23.73812847,Entire home/apt,32,1,1,1
37.9954928,23.7335844,Entire home/apt,70,1,1,1
37.98973536,23.74779984,Entire home/apt,27,1,1,1
37.98524,23.72469,Entire home/apt,38,1,1,1
37.9789247,23.7286963,Entire home/apt,97,1,1,1
37.98953206,23.72996418,Entire home/apt,44,1,1,1
37.96288,23.74484,Entire home/apt,43,1,1,1
37.98789,23.72839,Entire home/apt,60,1,2,0.07
37.964361,23.721889,Entire home/apt,168,1,2,0.02
37.9778,23.73268,Entire home/apt,100,1,2,0.02
37.97512,23.73464,Entire home/apt,251,1,2,0.02
37.9732,23.73391,Entire home/apt,187,1,2,0.02
37.9676,23.72998,Entire home/apt,90,1,2,0.02
37.96215,23.7317,Entire home/apt,85,1,2,0.03
37.96474,23.72427,Entire home/apt,105,1,2,0.03
37.97351,23.72921,Entire home/apt,73,1,2,0.03
37.97665,23.73855,Entire home/apt,243,1,2,0.06
37.97815,23.72931,Entire home/apt,143,1,2,0.03
37.97852,23.72941,Entire home/apt,147,1,2,0.05
